<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GEME.US,D,20250127,000000,25.2355,25.239,25.0256,25.0256,202,0
GEME.US,D,20250128,000000,24.97,25.24,24.97,25.17,1025,0
GEME.US,D,20250203,000000,24.92,24.92,24.835,24.835,702,0
GEME.US,D,20250204,000000,25.33,25.33,25.29,25.318,1101,0
GEME.US,D,20250205,000000,25.15,25.22,25.12,25.2081,1469,0
GEME.US,D,20250206,000000,25.2731,25.2914,25.2731,25.2914,200,0
GEME.US,D,20250207,000000,25.455,25.455,25.345,25.345,200,0
GEME.US,D,20250211,000000,25.655,25.655,25.6273,25.6273,150,0
GEME.US,D,20250212,000000,26.5287,26.5287,25.755,25.755,131,0
GEME.US,D,20250213,000000,25.775,25.9,25.775,25.9,3880,0
GEME.US,D,20250214,000000,26.19,26.215,26.19,26.215,2081,0
GEME.US,D,20250218,000000,26.25,26.295,26.25,26.295,10002,0
GEME.US,D,20250219,000000,26.23,26.23,26.23,26.23,13000,0
